Timestamp,Data
2024-10-30 23:50:33,"RGB: 5, 205, 11, 141, 12, 59"
2024-10-30 23:50:34,"RGB: 5, 226, 11, 185, 12, 18"
2024-10-30 23:50:35,"RGB: 5, 187, 11, 104, 11, 47"
2024-10-30 23:50:36,"RGB: 0, 208, 1, 73, 1, 27"
2024-10-30 23:50:37,"RGB: 0, 208, 1, 74, 1, 27"
2024-10-30 23:50:39,"RGB: 0, 209, 1, 75, 1, 190"
2024-10-30 23:50:39,CMD error
2024-10-30 23:50:40,"RGB: 2, 2, 3, 225, 3, 186"
2024-10-30 23:50:41,"RGB: 2, 10, 3, 217, 3, 228"
2024-10-30 23:50:43,"RGB: 4, 244, 10, 18, 10, 52"
2024-10-30 23:50:45,"RGB: 7, 126, 14, 175, 14, 16"
2024-10-30 23:51:00,"RGB: 1, 177, 1, 239, 1, 113"
2024-10-30 23:51:02,"RGB: 2, 131, 5, 169, 3, 110"
2024-10-30 23:51:03,"RGB: 5, 83, 11, 237, 7, 169"
2024-10-30 23:51:05,"RGB: 4, 189, 10, 107, 6, 141"
2024-10-30 23:51:06,"RGB: 4, 188, 10, 43, 4, 103"
2024-10-30 23:51:08,"RGB: 7, 28, 10, 128, 4, 180"
2024-10-30 23:51:09,"RGB: 11, 223, 11, 6, 5, 93"
2024-10-30 23:51:10,"RGB: 14, 46, 5, 246, 6, 143"
2024-10-30 23:51:12,"RGB: 12, 94, 2, 167, 2, 83"
2024-10-30 23:51:13,"RGB: 11, 147, 1, 166, 2, 33"
2024-10-30 23:51:15,"RGB: 12, 73, 1, 236, 2, 103"
2024-10-30 23:51:16,"RGB: 12, 141, 2, 127, 4, 80"
2024-10-30 23:51:18,"RGB: 5, 64, 1, 232, 3, 145"
2024-10-30 23:51:19,"RGB: 2, 66, 1, 139, 3, 17"
2024-10-30 23:51:20,"RGB: 0, 181, 1, 73, 2, 74"
2024-10-30 23:51:21,"RGB: 1, 218, 1, 187, 3, 203"
2024-10-30 23:51:22,"RGB: 4, 83, 4, 8, 4, 56"
2024-10-30 23:51:23,"RGB: 4, 83, 9, 169, 6, 190"
2024-10-30 23:51:24,"RGB: 5, 63, 11, 140, 7, 95"
2024-10-30 23:51:25,"RGB: 4, 163, 10, 14, 5, 241"
2024-10-30 23:51:26,"RGB: 4, 241, 10, 43, 4, 128"
2024-10-30 23:51:27,"RGB: 6, 133, 10, 96, 4, 140"
2024-10-30 23:51:28,"RGB: 8, 88, 8, 223, 4, 95"
2024-10-30 23:51:29,"RGB: 14, 239, 9, 143, 6, 229"
2024-10-30 23:51:30,"RGB: 14, 12, 7, 148, 5, 251"
2024-10-30 23:51:31,"RGB: 11, 45, 3, 183, 3, 11"
2024-10-30 23:51:32,"RGB: 10, 194, 2, 190, 2, 193"
2024-10-30 23:51:33,"RGB: 10, 58, 2, 144, 2, 190"
2024-10-30 23:51:35,"RGB: 10, 204, 2, 167, 2, 80"
2024-10-30 23:51:36,"RGB: 11, 47, 2, 239, 3, 100"
2024-10-30 23:51:37,"RGB: 7, 162, 2, 242, 4, 239"
